Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4562491,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4563397,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4564444,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4565411,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4566446,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4567431,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4568440,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4569483,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4570465,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4571507,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4572465,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4573536,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4574469,1.25,1.5,1,1.625,1.875,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4575514,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
4576481,1.25,1.5,1,1.625,1.75,1.75,2.25,1.875,1.375,1.875,2.125,2.375,1.25,1.625,1.375,0.625
